Generation,MutationID,X,Y,Frequency,AlleleCount,Chr_Tot
605.0,3310.0,5.0,6.0,0.046875,3.0,64.0
605.0,3310.0,5.0,7.0,0.0892857,5.0,56.0
605.0,3310.0,5.0,8.0,0.12069,7.0,58.0
605.0,2578.0,5.0,9.0,0.0531915,5.0,94.0
605.0,2635.0,6.0,2.0,0.0121951,1.0,82.0
605.0,1280.0,6.0,4.0,0.0111111,1.0,90.0
605.0,1280.0,6.0,5.0,0.0375,3.0,80.0
605.0,3310.0,6.0,5.0,0.025,2.0,80.0
605.0,2578.0,6.0,5.0,0.0125,1.0,80.0
605.0,3310.0,6.0,6.0,0.25,17.0,68.0
605.0,3310.0,6.0,7.0,0.314815,17.0,54.0
605.0,3310.0,6.0,8.0,0.166667,16.0,96.0
605.0,2578.0,6.0,8.0,0.0104167,1.0,96.0
605.0,2578.0,6.0,10.0,0.0909091,8.0,88.0
605.0,1280.0,7.0,3.0,0.0131579,1.0,76.0
605.0,2578.0,7.0,4.0,0.106061,7.0,66.0
605.0,1280.0,7.0,4.0,0.136364,9.0,66.0
605.0,2578.0,7.0,5.0,0.0588235,4.0,68.0
605.0,1280.0,7.0,6.0,0.159091,14.0,88.0
605.0,3310.0,7.0,6.0,0.113636,10.0,88.0
605.0,3310.0,7.0,7.0,0.5,29.0,58.0
605.0,1280.0,7.0,7.0,0.0517241,3.0,58.0
605.0,2578.0,7.0,8.0,0.0441176,3.0,68.0
605.0,3310.0,7.0,8.0,0.102941,7.0,68.0
605.0,1280.0,7.0,8.0,0.102941,7.0,68.0
605.0,2578.0,7.0,9.0,0.0555556,4.0,72.0
605.0,1280.0,7.0,9.0,0.0138889,1.0,72.0
605.0,2578.0,7.0,10.0,0.0806452,5.0,62.0
605.0,1280.0,8.0,3.0,0.0806452,5.0,62.0
605.0,2578.0,8.0,3.0,0.016129,1.0,62.0
605.0,1280.0,8.0,4.0,0.394737,30.0,76.0
605.0,2578.0,8.0,5.0,0.025,2.0,80.0
605.0,1280.0,8.0,5.0,0.0375,3.0,80.0
605.0,1280.0,8.0,6.0,0.125,7.0,56.0
605.0,1280.0,8.0,7.0,0.257576,17.0,66.0
605.0,3310.0,8.0,7.0,0.0151515,1.0,66.0
605.0,1280.0,8.0,8.0,0.225806,14.0,62.0
605.0,2578.0,8.0,8.0,0.0322581,2.0,62.0
605.0,1280.0,8.0,9.0,0.0147059,1.0,68.0
605.0,2578.0,9.0,1.0,0.0375,3.0,80.0
605.0,2578.0,9.0,2.0,0.102941,7.0,68.0
605.0,2578.0,9.0,3.0,0.0125,1.0,80.0
605.0,1280.0,9.0,4.0,0.175676,13.0,74.0
605.0,1280.0,9.0,5.0,0.0833333,6.0,72.0
605.0,1280.0,9.0,6.0,0.22,11.0,50.0
605.0,1280.0,9.0,7.0,0.391892,29.0,74.0
605.0,2578.0,9.0,7.0,0.0540541,4.0,74.0
605.0,1280.0,9.0,8.0,0.146341,12.0,82.0
605.0,2578.0,9.0,8.0,0.0487805,4.0,82.0
605.0,1280.0,9.0,9.0,0.0875,7.0,80.0
605.0,1280.0,9.0,10.0,0.0405405,3.0,74.0
605.0,2578.0,10.0,1.0,0.0487805,4.0,82.0
605.0,2578.0,10.0,2.0,0.0606061,4.0,66.0
605.0,2578.0,10.0,4.0,0.1125,9.0,80.0
605.0,1280.0,10.0,4.0,0.05,4.0,80.0
605.0,1280.0,10.0,5.0,0.015625,1.0,64.0
605.0,2578.0,10.0,5.0,0.046875,3.0,64.0
605.0,1280.0,10.0,6.0,0.146341,12.0,82.0
605.0,2578.0,10.0,7.0,0.1375,11.0,80.0
605.0,1280.0,10.0,7.0,0.275,22.0,80.0
605.0,1280.0,10.0,8.0,0.314286,22.0,70.0
605.0,2578.0,10.0,8.0,0.0142857,1.0,70.0
605.0,1280.0,10.0,9.0,0.225806,14.0,62.0

606.0,2635.0,1.0,5.0,0.166667,12.0,72.0
606.0,2635.0,1.0,6.0,0.0394737,3.0,76.0
606.0,2635.0,2.0,2.0,0.0294118,2.0,68.0
606.0,3060.0,2.0,2.0,0.0147059,1.0,68.0
606.0,2635.0,2.0,3.0,0.128205,10.0,78.0
606.0,3060.0,2.0,4.0,0.0192308,1.0,52.0
606.0,2635.0,2.0,4.0,0.0192308,1.0,52.0
606.0,3060.0,2.0,5.0,0.0178571,1.0,56.0
606.0,2635.0,2.0,6.0,0.0166667,1.0,60.0
606.0,2635.0,3.0,2.0,0.134146,11.0,82.0
606.0,3060.0,3.0,2.0,0.0609756,5.0,82.0
606.0,2635.0,3.0,3.0,0.17,17.0,100.0
606.0,3060.0,3.0,3.0,0.3,30.0,100.0
606.0,3060.0,3.0,4.0,0.175,14.0,80.0
606.0,2635.0,3.0,4.0,0.0125,1.0,80.0
606.0,3060.0,3.0,5.0,0.0227273,2.0,88.0
606.0,2635.0,4.0,2.0,0.303571,17.0,56.0
606.0,2635.0,4.0,3.0,0.05,4.0,80.0
606.0,3060.0,4.0,3.0,0.0125,1.0,80.0
606.0,3060.0,4.0,4.0,0.30303,20.0,66.0
606.0,3060.0,4.0,5.0,0.151515,10.0,66.0
606.0,2635.0,5.0,2.0,0.1,7.0,70.0
606.0,2635.0,5.0,3.0,0.0128205,1.0,78.0
606.0,3310.0,5.0,5.0,0.0217391,2.0,92.0
606.0,3310.0,5.0,7.0,0.0769231,4.0,52.0
606.0,3310.0,5.0,8.0,0.0833333,4.0,48.0
606.0,2578.0,5.0,9.0,0.1,7.0,70.0
606.0,3310.0,5.0,9.0,0.0142857,1.0,70.0
606.0,1280.0,6.0,4.0,0.0238095,2.0,84.0
606.0,1280.0,6.0,5.0,0.0588235,4.0,68.0
606.0,2578.0,6.0,5.0,0.0147059,1.0,68.0
606.0,3310.0,6.0,5.0,0.0147059,1.0,68.0
606.0,3310.0,6.0,6.0,0.21875,14.0,64.0
606.0,3310.0,6.0,7.0,0.277778,25.0,90.0
606.0,3310.0,6.0,8.0,0.151515,10.0,66.0
606.0,2578.0,6.0,10.0,0.1,8.0,80.0
606.0,1280.0,7.0,3.0,0.0526316,4.0,76.0
606.0,2578.0,7.0,4.0,0.0694444,5.0,72.0
606.0,1280.0,7.0,4.0,0.277778,20.0,72.0
606.0,2578.0,7.0,5.0,0.0428571,3.0,70.0
606.0,1280.0,7.0,5.0,0.0142857,1.0,70.0
606.0,1280.0,7.0,6.0,0.0967742,6.0,62.0
606.0,3310.0,7.0,6.0,0.112903,7.0,62.0
606.0,3310.0,7.0,7.0,0.537037,29.0,54.0
606.0,1280.0,7.0,7.0,0.111111,6.0,54.0
606.0,2578.0,7.0,8.0,0.0416667,3.0,72.0
606.0,1280.0,7.0,8.0,0.166667,12.0,72.0
606.0,3310.0,7.0,8.0,0.0972222,7.0,72.0
606.0,2578.0,7.0,9.0,0.0357143,3.0,84.0
606.0,1280.0,7.0,9.0,0.0238095,2.0,84.0
606.0,2578.0,7.0,10.0,0.1,8.0,80.0
606.0,1280.0,8.0,3.0,0.0972222,7.0,72.0
606.0,1280.0,8.0,4.0,0.354839,22.0,62.0
606.0,1280.0,8.0,5.0,0.0757576,5.0,66.0
606.0,2578.0,8.0,5.0,0.0151515,1.0,66.0
606.0,1280.0,8.0,6.0,0.294118,20.0,68.0
606.0,3310.0,8.0,6.0,0.0147059,1.0,68.0
606.0,1280.0,8.0,7.0,0.25,19.0,76.0
606.0,3310.0,8.0,7.0,0.0263158,2.0,76.0
606.0,2578.0,8.0,8.0,0.030303,2.0,66.0
606.0,1280.0,8.0,8.0,0.181818,12.0,66.0
606.0,2578.0,8.0,9.0,0.0263158,2.0,76.0
606.0,1280.0,8.0,9.0,0.0131579,1.0,76.0
606.0,2578.0,9.0,1.0,0.0714286,5.0,70.0
606.0,2578.0,9.0,2.0,0.0892857,5.0,56.0
606.0,1280.0,9.0,3.0,0.0166667,1.0,60.0
606.0,1280.0,9.0,4.0,0.18,9.0,50.0
606.0,2578.0,9.0,4.0,0.02,1.0,50.0
606.0,1280.0,9.0,5.0,0.0882353,6.0,68.0
606.0,1280.0,9.0,6.0,0.2,14.0,70.0
606.0,1280.0,9.0,7.0,0.294872,23.0,78.0
